iso2,net_benefit,benefit,cost,country_specific_scc
US,31.46411,33.47158,2.00747,293.11978
CN,9.09225,12.74932,3.65707,111.64926
IN,5.37244,7.43005,2.05761,65.06695
SA,3.91793,3.91793,0.00000,34.31042
JP,3.21303,3.21518,0.00215,28.15621
BR,3.02273,3.09497,0.07224,27.10348
FR,2.49029,2.49029,0.00000,21.80817
MX,2.34398,2.37652,0.03254,20.81183
CA,2.22818,2.53286,0.30468,22.18095
DE,1.98343,2.40527,0.42184,21.06357
AE,1.90485,1.90485,0.00000,16.68134
GB,1.87411,1.90778,0.03367,16.70692
IT,1.75533,1.75533,0.00000,15.37192
ES,1.62042,1.63154,0.01112,14.28788
TR,1.39661,1.59148,0.19486,13.93701
IR,1.21698,1.23476,0.01777,10.81311
KR,1.19961,1.19961,0.00000,10.50529
QA,1.11387,1.11387,0.00000,9.75444
NG,1.06267,1.06543,0.00275,9.33022
KW,0.94896,0.94896,0.00000,8.31032
PK,0.94745,0.96797,0.02052,8.47680
RU,0.92402,2.52055,1.59652,22.07310
IQ,0.90177,0.90177,0.00000,7.89708
EG,0.83178,0.83178,0.00000,7.28415
IL,0.80840,0.80840,0.00000,7.07937
MY,0.72913,0.72913,0.00000,6.38517
VE,0.68662,0.69619,0.00957,6.09670
AR,0.66615,0.67007,0.00392,5.86800
TH,0.54202,0.62391,0.08190,5.46379
NL,0.53870,0.53870,0.00000,4.71756
SE,0.50121,0.50121,0.00000,4.38926
DZ,0.47779,0.47779,0.00000,4.18417
CO,0.47285,0.67456,0.20171,5.90733
AO,0.45962,0.45962,0.00000,4.02501
PH,0.37957,0.42426,0.04470,3.71537
BE,0.36687,0.36687,0.00000,3.21276
NO,0.36472,0.36527,0.00054,3.19874
CH,0.35427,0.35427,0.00000,3.10244
AT,0.33833,0.33833,0.00000,2.96285
PE,0.32716,0.32771,0.00055,2.86984
PL,0.30780,0.59866,0.29086,5.24259
OM,0.29187,0.29187,0.00000,2.55597
SD,0.25825,0.25825,0.00000,2.26161
LY,0.24518,0.24518,0.00000,2.14707
FI,0.24472,0.24472,0.00000,2.14304
BD,0.20206,0.23770,0.03564,2.08164
DK,0.18846,0.18846,0.00000,1.65039
PT,0.18844,0.18844,0.00000,1.65025
SY,0.18817,0.18817,0.00000,1.64782
CZ,0.17767,0.25632,0.07865,2.24466
VN,0.16524,0.27621,0.11096,2.41881
CL,0.16248,0.18583,0.02335,1.62739
MA,0.13858,0.13858,0.00000,1.21359
DO,0.12914,0.12914,0.00000,1.13095
YE,0.12499,0.12499,0.00000,1.09460
KZ,0.12283,0.38058,0.25775,3.33284
EC,0.12100,0.12100,0.00000,1.05967
HU,0.12093,0.13977,0.01883,1.22397
IE,0.11804,0.11804,0.00000,1.03372
TN,0.11786,0.11786,0.00000,1.03215
ET,0.11776,0.11784,0.00009,1.03199
AZ,0.11665,0.11665,0.00000,1.02151
BY,0.11494,0.11494,0.00000,1.00660
LK,0.11015,0.11015,0.00000,0.96465
TZ,0.10454,0.11479,0.01025,1.00521
SK,0.10431,0.11229,0.00797,0.98332
GT,0.10042,0.10042,0.00000,0.87938
TM,0.10019,0.10019,0.00000,0.87742
AF,0.09853,0.09853,0.00000,0.86282
UA,0.09721,0.21827,0.12107,1.91146
PA,0.09718,0.09718,0.00000,0.85105
UG,0.09651,0.09651,0.00000,0.84517
